fighter_banner_info.personal_info.fighter_id,fighter_banner_info.personal_info.platform_name,character_name,league_point,league_rank,rating,fighter_banner_info.home_name
CAGGO1,Steam,Chun-Li,0,36,2126,Japan
Lexx,Steam,Guile,0,36,2121,Honduras
mago2dgod,Steam,Juri,0,36,2119,Japan
Torimeshi,Steam,Dhalsim,0,36,2114,Japan
BananaKen,Steam,JP,0,36,2106,United States
AC-6,Steam,Dee Jay,0,36,2105,Other
FluxWaveZ,Steam,JP,0,36,2093,Canada
naooonn,Steam,Luke,0,36,2085,Japan
ll Moke ll,Steam,Chun-Li,0,36,2080,Japan
UMA327_PC,Steam,Juri,0,36,2080,Other
Nemo1127,Steam,JP,0,36,2077,Japan
HotDog29GG,Steam,Dee Jay,0,36,2076,Other
CrossoverRD,CrossPlatform,Ken,0,36,2076,Dominican Republic
Kazunoko,Steam,Cammy,0,36,2074,Japan
IBSG_Kakeru,Steam,JP,0,36,2074,Japan
-DingChunQiu-,Steam,JP,0,36,2072,China
Fuudo,Steam,Dee Jay,0,36,2071,Japan
Juicyjoe2000,CrossPlatform,JP,0,36,2070,Sweden
kawano,Steam,Luke,0,36,2067,Japan
satoru_pc,Steam,Rashid,0,36,2067,Japan
Oil King,Steam,Rashid,0,36,2065,Other
CPU Level 5,Steam,Chun-Li,0,36,2064,Japan
BonchanRB,Steam,Luke,0,36,2062,Japan
GINGNANG,Steam,Luke,0,36,2062,Other
DFMjohntakeuchi,Steam,Rashid,0,36,2062,Japan
_ts_,Steam,Ken,0,36,2062,Japan
ひぐち！,Steam,Guile,0,36,2061,Japan
801 Strider,Steam,Marisa,0,36,2060,United States
NEPHEW237142,Steam,Juri,0,36,2059,United States
SOG1111,Steam,Dee Jay,0,36,2058,Other
Tokido,Steam,Ken,0,36,2057,Japan
きんちょーる_Twitch,Steam,Ken,0,36,2056,Japan
noahtheprodigy,Steam,Luke,0,36,2055,United States
KUSANAGI,Steam,Luke,0,36,2049,France
HibikiTheBeast,Steam,Lily,0,36,2044,Japan
